date,Exxon
2011-01-01,12.18
2011-01-02,26.88
2011-01-03,39.48
2011-01-04,32.76
2011-01-05,34.86
2011-01-06,33.18
2011-01-07,26.88
2011-01-08,28.56
2011-01-09,27.72
2011-01-10,30.66
2011-01-11,34.019999999999996
2011-01-12,26.459999999999997
2011-01-13,35.699999999999996
2011-01-14,27.3
2011-01-15,21.0
2011-01-16,16.8
2011-01-17,26.88
2011-01-18,29.4
2011-01-19,31.08
2011-01-20,30.24
2011-01-21,28.56
2011-01-22,23.52
2011-01-23,18.48
2011-01-24,27.72
2011-01-25,31.08
2011-01-26,30.24
2011-01-27,28.98
2011-01-28,36.12
2011-01-29,36.12
2011-01-30,24.36
2011-01-31,42.0
2011-02-01,38.07
2011-02-02,36.19
2011-02-03,33.37
2011-02-04,31.49
2011-02-05,22.56
2011-02-06,19.27
2011-02-07,33.839999999999996
2011-02-08,38.07
2011-02-09,28.669999999999998
2011-02-10,36.19
2011-02-11,31.02
2011-02-12,28.669999999999998
2011-02-13,20.68
2011-02-14,27.729999999999997
2011-02-15,45.12
2011-02-16,36.19
2011-02-17,43.239999999999995
2011-02-18,31.49
2011-02-19,31.959999999999997
2011-02-20,26.32
2011-02-21,31.959999999999997
2011-02-22,40.419999999999995
2011-02-23,46.529999999999994
2011-02-24,44.65
2011-02-25,47.0
2011-02-26,28.2
2011-02-27,29.61
2011-02-28,39.01
2011-03-01,37.230000000000004
2011-03-02,37.74
2011-03-03,49.47
2011-03-04,42.33
2011-03-05,35.7
2011-03-06,40.29
2011-03-07,39.78
2011-03-08,48.45
2011-03-09,51.0
2011-03-10,41.82
2011-03-11,33.660000000000004
2011-03-12,24.990000000000002
2011-03-13,27.54
2011-03-14,29.580000000000002
2011-03-15,34.17
2011-03-16,36.72
2011-03-17,38.76
2011-03-18,34.17
2011-03-19,25.5
2011-03-20,29.07
2011-03-21,28.05
2011-03-22,26.52
2011-03-23,36.72
2011-03-24,38.76
2011-03-25,34.68
2011-03-26,22.44
2011-03-27,14.790000000000001
2011-03-28,32.64
2011-03-29,35.19
2011-03-30,38.76
2011-03-31,33.660000000000004
2011-04-01,38.34
2011-04-02,24.840000000000003
2011-04-03,18.36
2011-04-04,36.18
2011-04-05,25.92
2011-04-06,30.78
2011-04-07,30.240000000000002
2011-04-08,35.1
2011-04-09,24.3
2011-04-10,28.080000000000002
2011-04-11,34.56
2011-04-12,37.260000000000005
2011-04-13,27.540000000000003
2011-04-14,31.860000000000003
2011-04-15,32.400000000000006
2011-04-16,26.46
2011-04-17,17.82
2011-04-18,35.1
2011-04-19,31.860000000000003
2011-04-20,30.240000000000002
2011-04-21,25.92
2011-04-22,23.76
2011-04-23,17.82
2011-04-24,18.36
2011-04-25,33.480000000000004
2011-04-26,35.64
2011-04-27,36.18
2011-04-28,54.0
2011-04-29,52.38
2011-04-30,41.580000000000005
2011-05-01,45.36
2011-05-02,54.0
2011-05-03,41.580000000000005
2011-05-04,43.2
2011-05-05,52.92
2011-05-06,38.88
2011-05-07,29.160000000000004
2011-05-08,30.78
2011-05-09,47.52
2011-05-10,49.14
2011-05-11,43.2
2011-05-12,52.92
2011-05-13,39.96
2011-05-14,34.02
2011-05-15,32.940000000000005
2011-05-16,34.02
2011-05-17,35.1
2011-05-18,43.74
2011-05-19,44.82
2011-05-20,35.1
2011-05-21,26.46
2011-05-22,29.160000000000004
2011-05-23,44.28
2011-05-24,31.860000000000003
2011-05-25,27.0
2011-05-26,34.02
2011-05-27,34.56
2011-05-28,24.3
2011-05-29,17.82
2011-05-30,33.480000000000004
2011-05-31,38.34
2011-06-01,45.57
2011-06-02,31.849999999999998
2011-06-03,35.28
2011-06-04,38.71
2011-06-05,20.58
2011-06-06,29.89
2011-06-07,34.3
2011-06-08,48.019999999999996
2011-06-09,49.0
2011-06-10,43.61
2011-06-11,25.48
2011-06-12,22.54
2011-06-13,37.73
2011-06-14,35.28
2011-06-15,36.75
2011-06-16,32.83
2011-06-17,35.769999999999996
2011-06-18,24.99
2011-06-19,28.91
2011-06-20,29.89
2011-06-21,35.769999999999996
2011-06-22,37.73
2011-06-23,37.24
2011-06-24,34.79
2011-06-25,26.95
2011-06-26,24.009999999999998
2011-06-27,38.22
2011-06-28,34.79
2011-06-29,34.3
2011-06-30,35.769999999999996
2011-07-01,38.5
2011-07-02,30.250000000000004
2011-07-03,52.25000000000001
2011-07-04,37.95
2011-07-05,55.00000000000001
2011-07-06,44.550000000000004
2011-07-07,45.650000000000006
2011-07-08,35.2
2011-07-09,25.85
2011-07-10,28.05
2011-07-11,40.150000000000006
2011-07-12,37.400000000000006
2011-07-13,40.7
2011-07-14,34.1
2011-07-15,35.75
2011-07-16,29.150000000000002
2011-07-17,25.3
2011-07-18,29.700000000000003
2011-07-19,26.950000000000003
2011-07-20,24.750000000000004
2011-07-21,40.7
2011-07-22,33.550000000000004
2011-07-23,22.0
2011-07-24,19.8
2011-07-25,35.75
2011-07-26,34.1
2011-07-27,31.35
2011-07-28,44.0
2011-07-29,33.0
2011-07-30,28.05
2011-07-31,35.2
2011-08-01,31.9
2011-08-02,34.22
2011-08-03,33.64
2011-08-04,35.379999999999995
2011-08-05,33.64
2011-08-06,35.96
2011-08-07,26.68
2011-08-08,35.96
2011-08-09,57.99999999999999
2011-08-10,51.62
2011-08-11,41.76
2011-08-12,40.599999999999994
2011-08-13,30.74
2011-08-14,24.939999999999998
2011-08-15,37.699999999999996
2011-08-16,36.54
2011-08-17,28.999999999999996
2011-08-18,42.339999999999996
2011-08-19,48.72
2011-08-20,30.74
2011-08-21,29.58
2011-08-22,33.059999999999995
2011-08-23,27.259999999999998
2011-08-24,31.319999999999997
2011-08-25,34.8
2011-08-26,28.999999999999996
2011-08-27,23.779999999999998
2011-08-28,20.88
2011-08-29,35.96
2011-08-30,36.54
2011-08-31,43.5
2011-09-01,33.6
2011-09-02,33.12
2011-09-03,22.08
2011-09-04,27.36
2011-09-05,32.64
2011-09-06,29.759999999999998
2011-09-07,34.08
2011-09-08,43.68
2011-09-09,36.48
2011-09-10,26.88
2011-09-11,22.08
2011-09-12,35.519999999999996
2011-09-13,35.519999999999996
2011-09-14,39.36
2011-09-15,36.96
2011-09-16,42.239999999999995
2011-09-17,26.4
2011-09-18,22.08
2011-09-19,36.48
2011-09-20,41.76
2011-09-21,48.0
2011-09-22,42.72
2011-09-23,33.12
2011-09-24,22.08
2011-09-25,20.16
2011-09-26,38.879999999999995
2011-09-27,33.12
2011-09-28,36.0
2011-09-29,37.44
2011-09-30,32.64
2011-10-01,25.76
2011-10-02,21.62
2011-10-03,30.360000000000003
2011-10-04,26.68
2011-10-05,33.58
2011-10-06,37.72
2011-10-07,36.34
2011-10-08,19.78
2011-10-09,19.78
2011-10-10,27.14
2011-10-11,27.6
2011-10-12,28.98
2011-10-13,31.740000000000002
2011-10-14,32.2
2011-10-15,24.84
2011-10-16,22.540000000000003
2011-10-17,30.82
2011-10-18,30.82
2011-10-19,28.52
2011-10-20,23.92
2011-10-21,30.360000000000003
2011-10-22,20.7
2011-10-23,22.540000000000003
2011-10-24,28.52
2011-10-25,32.660000000000004
2011-10-26,38.18
2011-10-27,46.0
2011-10-28,33.120000000000005
2011-10-29,23.0
2011-10-30,22.080000000000002
2011-10-31,31.740000000000002
2011-11-01,40.48
2011-11-02,41.8
2011-11-03,38.72
2011-11-04,38.72
2011-11-05,21.56
2011-11-06,22.0
2011-11-07,36.52
2011-11-08,38.28
2011-11-09,31.24
2011-11-10,37.4
2011-11-11,38.28
2011-11-12,26.4
2011-11-13,28.6
2011-11-14,35.64
2011-11-15,44.0
2011-11-16,43.56
2011-11-17,39.6
2011-11-18,38.72
2011-11-19,27.72
2011-11-20,28.16
2011-11-21,39.160000000000004
2011-11-22,33.0
2011-11-23,38.28
2011-11-24,17.16
2011-11-25,33.44
2011-11-26,24.2
2011-11-27,29.04
2011-11-28,35.2
2011-11-29,31.24
2011-11-30,44.0
2011-12-01,34.85
2011-12-02,29.52
2011-12-03,24.189999999999998
2011-12-04,21.32
2011-12-05,35.26
2011-12-06,30.34
2011-12-07,29.93
2011-12-08,41.0
2011-12-09,29.52
2011-12-10,25.009999999999998
2011-12-11,17.63
2011-12-12,26.65
2011-12-13,35.669999999999995
2011-12-14,26.24
2011-12-15,33.62
2011-12-16,30.749999999999996
2011-12-17,27.06
2011-12-18,19.68
2011-12-19,26.24
2011-12-20,27.06
2011-12-21,30.34
2011-12-22,27.88
2011-12-23,31.569999999999997
2011-12-24,18.86
2011-12-25,23.779999999999998
2011-12-26,27.47
2011-12-27,27.06
2011-12-28,27.06
2011-12-29,28.7
2011-12-30,30.34
2011-12-31,22.959999999999997
2012-01-01,24.94
2012-01-02,30.96
2012-01-03,28.81
2012-01-04,28.38
2012-01-05,30.53
2012-01-06,24.94
2012-01-07,22.36
2012-01-08,15.049999999999999
2012-01-09,25.8
2012-01-10,26.23
2012-01-11,26.66
2012-01-12,32.68
2012-01-13,33.11
2012-01-14,27.52
2012-01-15,17.63
2012-01-16,25.8
2012-01-17,33.54
2012-01-18,29.669999999999998
2012-01-19,26.66
2012-01-20,29.24
2012-01-21,18.919999999999998
2012-01-22,19.78
2012-01-23,24.94
2012-01-24,32.68
2012-01-25,38.7
2012-01-26,30.96
2012-01-27,30.099999999999998
2012-01-28,27.52
2012-01-29,18.06
2012-01-30,31.39
2012-01-31,43.0
2012-02-01,45.0
2012-02-02,40.5
2012-02-03,31.05
2012-02-04,22.95
2012-02-05,22.5
2012-02-06,37.35
2012-02-07,37.800000000000004
2012-02-08,39.15
2012-02-09,35.550000000000004
2012-02-10,31.95
2012-02-11,29.25
2012-02-12,19.8
2012-02-13,30.150000000000002
2012-02-14,38.7
2012-02-15,38.25
2012-02-16,33.75
2012-02-17,30.150000000000002
2012-02-18,23.400000000000002
2012-02-19,25.2
2012-02-20,26.55
2012-02-21,36.45
2012-02-22,37.35
2012-02-23,43.2
2012-02-24,43.65
2012-02-25,34.65
2012-02-26,22.95
2012-02-27,35.1
2012-02-28,40.5
2012-02-29,42.75
2012-03-01,35.2
2012-03-02,32.56
2012-03-03,27.28
2012-03-04,27.72
2012-03-05,38.72
2012-03-06,32.56
2012-03-07,33.88
2012-03-08,29.04
2012-03-09,43.12
2012-03-10,24.2
2012-03-11,27.72
2012-03-12,36.08
2012-03-13,24.64
2012-03-14,34.32
2012-03-15,29.48
2012-03-16,33.0
2012-03-17,36.08
2012-03-18,25.96
2012-03-19,35.2
2012-03-20,39.160000000000004
2012-03-21,33.88
2012-03-22,30.36
2012-03-23,44.0
2012-03-24,22.0
2012-03-25,22.88
2012-03-26,33.0
2012-03-27,42.68
2012-03-28,36.96
2012-03-29,33.88
2012-03-30,42.68
2012-03-31,25.96
2012-04-01,35.72
2012-04-02,43.239999999999995
2012-04-03,38.07
2012-04-04,33.37
2012-04-05,39.949999999999996
2012-04-06,28.669999999999998
2012-04-07,39.01
2012-04-08,33.839999999999996
2012-04-09,44.65
2012-04-10,39.949999999999996
2012-04-11,40.419999999999995
2012-04-12,32.9
2012-04-13,39.01
2012-04-14,31.02
2012-04-15,30.549999999999997
2012-04-16,36.19
2012-04-17,41.83
2012-04-18,37.599999999999994
2012-04-19,35.72
2012-04-20,38.54
2012-04-21,23.97
2012-04-22,31.49
2012-04-23,35.72
2012-04-24,36.66
2012-04-25,39.48
2012-04-26,47.0
2012-04-27,38.07
2012-04-28,41.36
2012-04-29,26.32
2012-04-30,39.01
2012-05-01,45.5
2012-05-02,37.0
2012-05-03,50.0
2012-05-04,38.5
2012-05-05,29.5
2012-05-06,29.0
2012-05-07,48.5
2012-05-08,50.0
2012-05-09,40.0
2012-05-10,35.5
2012-05-11,37.0
2012-05-12,32.5
2012-05-13,27.5
2012-05-14,33.0
2012-05-15,37.0
2012-05-16,34.5
2012-05-17,35.0
2012-05-18,32.0
2012-05-19,25.0
2012-05-20,24.0
2012-05-21,39.5
2012-05-22,35.0
2012-05-23,40.5
2012-05-24,31.0
2012-05-25,36.0
2012-05-26,28.5
2012-05-27,27.0
2012-05-28,25.0
2012-05-29,34.5
2012-05-30,41.5
2012-05-31,30.5
2012-06-01,38.64
2012-06-02,34.5
2012-06-03,29.44
2012-06-04,34.96
2012-06-05,33.120000000000005
2012-06-06,34.04
2012-06-07,39.1
2012-06-08,37.72
2012-06-09,27.6
2012-06-10,28.060000000000002
2012-06-11,37.260000000000005
2012-06-12,35.42
2012-06-13,32.2
2012-06-14,34.96
2012-06-15,38.64
2012-06-16,24.84
2012-06-17,24.84
2012-06-18,38.64
2012-06-19,36.34
2012-06-20,32.2
2012-06-21,39.1
2012-06-22,34.96
2012-06-23,25.76
2012-06-24,23.0
2012-06-25,46.0
2012-06-26,31.740000000000002
2012-06-27,36.800000000000004
2012-06-28,33.58
2012-06-29,35.88
2012-06-30,41.4
2012-07-01,40.42
2012-07-02,42.14
2012-07-03,39.13
2012-07-04,22.79
2012-07-05,39.99
2012-07-06,23.65
2012-07-07,22.79
2012-07-08,29.24
2012-07-09,40.42
2012-07-10,26.66
2012-07-11,32.25
2012-07-12,26.66
2012-07-13,30.96
2012-07-14,21.07
2012-07-15,31.39
2012-07-16,42.14
2012-07-17,28.81
2012-07-18,30.099999999999998
2012-07-19,27.09
2012-07-20,33.11
2012-07-21,25.8
2012-07-22,24.509999999999998
2012-07-23,25.37
2012-07-24,43.0
2012-07-25,29.24
2012-07-26,39.13
2012-07-27,30.53
2012-07-28,25.8
2012-07-29,24.08
2012-07-30,37.839999999999996
2012-07-31,28.38
2012-08-01,33.6
2012-08-02,27.6
2012-08-03,37.2
2012-08-04,23.6
2012-08-05,23.200000000000003
2012-08-06,34.800000000000004
2012-08-07,29.6
2012-08-08,35.2
2012-08-09,39.6
2012-08-10,34.0
2012-08-11,23.200000000000003
2012-08-12,20.400000000000002
2012-08-13,32.0
2012-08-14,39.6
2012-08-15,33.6
2012-08-16,37.2
2012-08-17,36.800000000000004
2012-08-18,28.8
2012-08-19,20.8
2012-08-20,32.800000000000004
2012-08-21,31.200000000000003
2012-08-22,40.0
2012-08-23,30.0
2012-08-24,24.8
2012-08-25,24.400000000000002
2012-08-26,18.8
2012-08-27,36.4
2012-08-28,37.6
2012-08-29,36.0
2012-08-30,32.4
2012-08-31,31.200000000000003
2012-09-01,23.099999999999998
2012-09-02,20.58
2012-09-03,42.0
2012-09-04,29.82
2012-09-05,26.88
2012-09-06,35.28
2012-09-07,33.6
2012-09-08,28.14
2012-09-09,23.939999999999998
2012-09-10,34.44
2012-09-11,30.24
2012-09-12,29.82
2012-09-13,34.44
2012-09-14,32.339999999999996
2012-09-15,26.88
2012-09-16,22.259999999999998
2012-09-17,31.08
2012-09-18,39.059999999999995
2012-09-19,39.48
2012-09-20,34.86
2012-09-21,38.22
2012-09-22,32.339999999999996
2012-09-23,21.0
2012-09-24,29.4
2012-09-25,32.76
2012-09-26,33.18
2012-09-27,31.919999999999998
2012-09-28,33.18
2012-09-29,21.84
2012-09-30,22.68
2012-10-01,30.72
2012-10-02,27.36
2012-10-03,29.279999999999998
2012-10-04,48.0
2012-10-05,32.64
2012-10-06,24.48
2012-10-07,21.119999999999997
2012-10-08,26.4
2012-10-09,34.08
2012-10-10,28.799999999999997
2012-10-11,24.48
2012-10-12,28.799999999999997
2012-10-13,20.16
2012-10-14,20.16
2012-10-15,33.6
2012-10-16,28.799999999999997
2012-10-17,33.6
2012-10-18,25.919999999999998
2012-10-19,33.6
2012-10-20,21.119999999999997
2012-10-21,20.16
2012-10-22,26.4
2012-10-23,28.32
2012-10-24,29.759999999999998
2012-10-25,26.4
2012-10-26,36.48
2012-10-27,18.24
2012-10-28,23.04
2012-10-29,24.96
2012-10-30,27.84
2012-10-31,36.48
2012-11-01,48.0
2012-11-02,42.72
2012-11-03,40.8
2012-11-04,32.16
2012-11-05,31.68
2012-11-06,26.4
2012-11-07,26.4
2012-11-08,26.4
2012-11-09,22.56
2012-11-10,20.64
2012-11-11,14.879999999999999
2012-11-12,22.56
2012-11-13,21.119999999999997
2012-11-14,19.68
2012-11-15,25.439999999999998
2012-11-16,22.56
2012-11-17,15.84
2012-11-18,11.04
2012-11-19,17.759999999999998
2012-11-20,20.64
2012-11-21,16.32
2012-11-22,14.399999999999999
2012-11-23,16.32
2012-11-24,12.959999999999999
2012-11-25,14.879999999999999
2012-11-26,20.16
2012-11-27,21.119999999999997
2012-11-28,21.599999999999998
2012-11-29,22.08
2012-11-30,17.759999999999998
2012-12-01,26.64
2012-12-02,20.35
2012-12-03,35.89
2012-12-04,26.27
2012-12-05,37.0
2012-12-06,35.519999999999996
2012-12-07,29.23
2012-12-08,18.13
2012-12-09,21.09
2012-12-10,29.97
2012-12-11,30.34
2012-12-12,30.34
2012-12-13,25.53
2012-12-14,25.9
2012-12-15,15.17
2012-12-16,21.83
2012-12-17,22.2
2012-12-18,29.23
2012-12-19,28.86
2012-12-20,28.12
2012-12-21,26.27
2012-12-22,27.75
2012-12-23,17.39
2012-12-24,23.68
2012-12-25,31.82
2012-12-26,31.08
2012-12-27,27.38
2012-12-28,27.009999999999998
2012-12-29,21.46
2012-12-30,24.419999999999998
2012-12-31,30.34
2013-01-01,21.200000000000003
2013-01-02,28.400000000000002
2013-01-03,35.6
2013-01-04,27.200000000000003
2013-01-05,17.6
2013-01-06,15.200000000000001
2013-01-07,28.8
2013-01-08,20.400000000000002
2013-01-09,24.8
2013-01-10,22.8
2013-01-11,20.8
2013-01-12,23.6
2013-01-13,12.4
2013-01-14,25.6
2013-01-15,22.400000000000002
2013-01-16,29.6
2013-01-17,28.400000000000002
2013-01-18,25.200000000000003
2013-01-19,18.0
2013-01-20,16.8
2013-01-21,22.8
2013-01-22,30.0
2013-01-23,25.200000000000003
2013-01-24,30.8
2013-01-25,40.0
2013-01-26,33.6
2013-01-27,22.400000000000002
2013-01-28,32.800000000000004
2013-01-29,35.2
2013-01-30,29.200000000000003
2013-01-31,36.0
2013-02-01,42.0
2013-02-02,29.4
2013-02-03,21.0
2013-02-04,33.6
2013-02-05,30.66
2013-02-06,31.919999999999998
2013-02-07,34.44
2013-02-08,31.919999999999998
2013-02-09,27.3
2013-02-10,24.36
2013-02-11,23.939999999999998
2013-02-12,31.5
2013-02-13,20.58
2013-02-14,28.98
2013-02-15,33.6
2013-02-16,24.779999999999998
2013-02-17,23.939999999999998
2013-02-18,29.4
2013-02-19,36.96
2013-02-20,32.76
2013-02-21,31.08
2013-02-22,35.28
2013-02-23,28.98
2013-02-24,22.68
2013-02-25,26.88
2013-02-26,34.86
2013-02-27,39.059999999999995
2013-02-28,32.339999999999996
2013-03-01,26.459999999999997
2013-03-02,22.259999999999998
2013-03-03,20.58
2013-03-04,25.619999999999997
2013-03-05,27.72
2013-03-06,30.66
2013-03-07,29.82
2013-03-08,28.56
2013-03-09,23.52
2013-03-10,18.48
2013-03-11,28.14
2013-03-12,29.82
2013-03-13,23.939999999999998
2013-03-14,26.04
2013-03-15,24.36
2013-03-16,18.06
2013-03-17,17.22
2013-03-18,29.4
2013-03-19,20.58
2013-03-20,23.939999999999998
2013-03-21,28.56
2013-03-22,22.68
2013-03-23,18.9
2013-03-24,18.48
2013-03-25,23.52
2013-03-26,23.099999999999998
2013-03-27,29.82
2013-03-28,23.939999999999998
2013-03-29,27.72
2013-03-30,23.099999999999998
2013-03-31,42.0
2013-04-01,55.00000000000001
2013-04-02,42.35
2013-04-03,40.150000000000006
2013-04-04,29.700000000000003
2013-04-05,29.150000000000002
2013-04-06,24.200000000000003
2013-04-07,21.450000000000003
2013-04-08,33.550000000000004
2013-04-09,35.75
2013-04-10,35.2
2013-04-11,33.0
2013-04-12,28.6
2013-04-13,22.0
2013-04-14,34.650000000000006
2013-04-15,31.900000000000002
2013-04-16,26.400000000000002
2013-04-17,34.650000000000006
2013-04-18,42.900000000000006
2013-04-19,29.150000000000002
2013-04-20,17.6
2013-04-21,18.150000000000002
2013-04-22,24.750000000000004
2013-04-23,28.05
